OBJECTID,county,district,county_fip,countynum,creation_d,last_updat,shape_Length,shape_Area
1,Allegany,6,1,1,2007/08/08 00:00:00+00,2012/01/20 00:00:00+00,323407.323737091,1849467221.23142
2,Anne Arundel,5,3,2,2007/01/09 00:00:00+00,2008/07/01 00:00:00+00,281164.885891623,1932405639.05456
3,Baltimore,4,5,3,2009/11/17 00:00:00+00,2012/02/15 00:00:00+00,367880.178380129,2699023966.34049
4,Baltimore City,0,510,24,2006/04/18 00:00:00+00,2009/11/16 00:00:00+00,81525.8104625402,397317621.976435
5,Calvert,5,9,4,2007/01/09 00:00:00+00,2008/07/08 00:00:00+00,184772.503460061,940583166.958377
6,Caroline,2,11,5,2007/05/21 00:00:00+00,2010/01/28 00:00:00+00,232432.862933614,1389825036.86687
7,Carroll,7,13,6,2008/06/16 00:00:00+00,2012/01/17 00:00:00+00,270041.122631773,1978148400.80838
8,Cecil,2,15,7,2006/04/18 00:00:00+00,2008/08/20 00:00:00+00,297278.737120329,1627949811.88093
9,Charles,5,17,8,2006/04/18 00:00:00+00,2010/06/21 00:00:00+00,277713.709164138,2010247316.31189
10,Dorchester,1,19,9,2006/04/18 00:00:00+00,2007/02/22 00:00:00+00,473548.957182105,2540554623.45207
11,Frederick,7,21,10,2012/01/10 00:00:00+00,2012/01/10 00:00:00+00,268781.223387795,2886691861.28661
12,Garrett,6,23,11,2007/05/15 00:00:00+00,2012/02/15 00:00:00+00,263153.118286499,2861649209.66548
13,Harford,4,25,12,2006/10/30 00:00:00+00,2012/02/15 00:00:00+00,276248.926688763,1971515228.18307
14,Howard,7,27,13,2006/11/16 00:00:00+00,2009/11/16 00:00:00+00,207828.809515984,1094793753.39274
15,Kent,2,29,14,2008/06/17 00:00:00+00,2010/03/05 00:00:00+00,227505.80781344,1311911137.15846
16,Montgomery,3,31,15,2006/12/15 00:00:00+00,2011/08/12 00:00:00+00,247817.768639408,2131588164.59548
17,Prince George's,3,33,16,2007/04/26 00:00:00+00,2011/04/18 00:00:00+00,285691.316636419,2109722333.4829
18,Queen Anne's,2,35,17,2006/04/18 00:00:00+00,2010/07/07 00:00:00+00,318960.136005747,1682883820.31917
19,Somerset,1,39,19,2007/01/08 00:00:00+00,2007/01/08 00:00:00+00,412633.639967486,1396647184.07978
20,St. Mary's,5,37,18,2006/12/21 00:00:00+00,2010/05/11 00:00:00+00,249152.941397265,1626250473.77705
21,Talbot,2,41,20,2007/04/05 00:00:00+00,2009/06/22 00:00:00+00,309958.675291216,1340849257.99328
22,Washington,6,43,21,2007/08/08 00:00:00+00,2012/01/10 00:00:00+00,373011.650734893,1999426251.5046
23,Wicomico,1,45,22,2007/11/26 00:00:00+00,2009/04/24 00:00:00+00,239550.781441023,1604822327.02115
24,Worcester,1,47,23,2006/04/18 00:00:00+00,2008/06/05 00:00:00+00,269301.158605367,2458369534.83767
